id,detected_objects,Dominant Emotion,Dominant Race,gender,age,age_group,sentiment_analysis,img,label,text
1436,,,,,,,bad,img/01436.png,1,when the school shooter accidently shoots the autistic kid but doesn't know that the tard strength makes him impervious to bullets
1439,"cow, cow",,,,,,bad,img/01439.png,0,im long and strong and down to get the goat hump on
1452,bird,,,,,,bad,img/01452.png,0,the feeling after a long day at work
1465,"person, person, person, person, person, handbag, person",,,,,,bad,img/01465.png,0,there is difference between violating muslims and other muslims dont get confused
1467,person,happy,middle eastern,man,24,18-24 years,bad,img/01467.png,0,it's a great day to be a honky!
1468,"person, sink, toilet",fear,white,woman,28,25-34 years,bad,img/01468.png,0,"assad: my son exploded better than yours, lol hamid:"
1469,person,,,,,,bad,img/01469.png,1,when you punch the muslim kid so hard that he starts having seizures and fucking dies the bomb has been defused
1472,"person, cup, chair",neutral,asian,woman,29,25-34 years,bad,img/01472.png,0,in my country this headdress is common to wear if you want to. here in other countries i am also free to wear it if i want to
1475,"tie, person",,,,,,good,img/01475.png,1,last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad
1476,person,sad,white,woman,30,25-34 years,bad,img/01476.png,0,im confident in my own skin
1483,"person, person, person, person, person, person, person, person, person, person, person, person, person, person",sad,black,man,31,25-34 years,bad,img/01483.png,0,"feeling bored, let's go to a mosque"
1487,"person, book",fear,white,man,37,35-44 years,bad,img/01487.png,1,when you forget you're retarded
1492,person,neutral,asian,man,28,25-34 years,bad,img/01492.png,0,i don't like the sun so i wear a visor
1497,"person, bottle, person, umbrella",,,,,,bad,img/01497.png,1,now back to the married islamic classic.. to children
1498,person,fear,white,woman,29,25-34 years,good,img/01498.png,0,democrats claim daca kids shouldn't have to pay for their parent's crimes... ...but white people are still responsible for 17th century slave owners??
1524,"person, cell phone, person",,,,,,neutral,img/01524.png,1,when you catch your goat with another man
1526,"person, keyboard, tv, cell phone",happy,white,woman,31,25-34 years,bad,img/01526.png,0,put the money in a bag. now! that will be $0.15
1527,person,,,,,,good,img/01527.png,0,oh no i can't run anymore
1529,"person, person, person, person, person, person, person, person, person, person",,,,,,bad,img/01529.png,0,acceptance of individuality is not a disgusting thing
1546,"person, tie",,,,,,bad,img/01546.png,1,kill the jews and muslims for being anti-white
1547,"cup, cup, bowl, cup, bottle, cup, bowl, cup, person, bottle, person, bowl, bowl, bowl, person, bottle, bowl, person, cup, cup, cup, spoon, spoon, wine glass, bowl, carrot",happy,white,woman,30,25-34 years,bad,img/01547.png,0,how mexicans be like... when they hear their friends kid is having a birthday party
1548,"person, person",neutral,white,woman,35,35-44 years,bad,img/01548.png,0,"what are they fighting over? is it: a) the last pan ducle b) he accidentally touch the homies hand passing a beer? c) foo used the last of the three flowers. d) homie said ""i got you on gas"" but he only has $3!"
1564,person,happy,white,man,28,25-34 years,bad,img/01564.png,0,puts on sunblock doesn't protect from harmful rays
1568,person,,,,,,bad,img/01568.png,1,do you think a terrorist has or could infiltrate our goverment ???
1569,"person, person, spoon, chair, bowl, potted plant",,,,,,bad,img/01569.png,0,when you can't decide to pre heat the oven or just throw the meal in right away
1576,"person, bird",,,,,,bad,img/01576.png,0,when your ex ask you for help
1578,"person, person, person, person, person, person, person, person, sports ball, person, person, person, person, person, frisbee",,,,,,bad,img/01578.png,1,sea monkeys
1579,"person, person, person, person, person, person, person, person, person, backpack, baseball glove",,,,,,good,img/01579.png,1,"muslim figure: ""we must have pork-free menus or we will leave u.s"" bacon america great again!"
1589,person,neutral,white,man,45,45-54 years,bad,img/01589.png,1,has an orgasm... ...shoots out tranny fluid
1598,dog,,,,,,bad,img/01598.png,1,men are like dogs we're excited to see you... and have no clue what you're mad about
1637,,,,,,,bad,img/01637.png,1,this time jesus you're not getting away
1642,person,,,,,,bad,img/01642.png,1,this would be racist if black people could read
1643,"person, person, toothbrush, toothbrush",neutral,latino hispanic,woman,25,25-34 years,neutral,img/01643.png,0,i'm not a racist my shadow is black
1649,"person, tie",happy,white,man,44,35-44 years,good,img/01649.png,1,american cops when they graduate police academy let the black man come forth! let murder be done upon him!
1653,"person, cat, person",,,,,,good,img/01653.png,0,"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """
1658,"person, person",neutral,white,woman,28,25-34 years,bad,img/01658.png,0,first rule of fight club.
1672,person,,,,,,bad,img/01672.png,0,when the new call of duty comes out and you're already camping
1682,"person, orange, book",,,,,,good,img/01682.png,1,fuck allah fuck islam and guck the child raper muhammad and yes that's pork in the quran
1694,"person, person, cow, cow, cow, cow, person, cow, cow",neutral,latino hispanic,man,24,18-24 years,bad,img/01694.png,0,which one should we butcher first
1698,"person, person",neutral,white,woman,32,25-34 years,bad,img/01698.png,1,this guy cut her head off workplace violence my ass
1734,vase,,,,,,good,img/01734.png,0,and that was the last time we let uncle larry babysit
1736,"person, person, person, person, person, person, person",,,,,,neutral,img/01736.png,0,korean war soldiers come home msnbc no live coverage cnn 58 seconds nbc no coverage abc 24 seconds cbc no coverage share if they should be ashamed
1743,person,happy,white,man,29,25-34 years,neutral,img/01743.png,0,sen mitt romney wall declaration let's make this his last term wwg1wga! utah voted against trumps emergency
1746,person,,,,,,good,img/01746.png,0,everyone told me you gonna be a blessing
1749,"person, person, tie, person, person, person, person, person, person, person, person, person",happy,white,man,28,25-34 years,neutral,img/01749.png,0,so then we told them cannabis is dangerous and pharmaceuticals are good for you
1756,person,,,,,,bad,img/01756.png,0,she is a fast runner
1763,toothbrush,,,,,,bad,img/01763.png,0,want a spin ?
1793,person,,,,,,bad,img/01793.png,1,don't mind me i'm only watering my muslims
1794,person,neutral,white,man,28,25-34 years,bad,img/01794.png,1,i beat children
1823,person,neutral,asian,man,44,35-44 years,good,img/01823.png,0,i too was once a male trapped in a female's body but then i was born
1827,"bird, horse, horse, person",,,,,,bad,img/01827.png,0,if your man is offended by this then he's never been hunting
1829,person,surprise,white,man,29,25-34 years,bad,img/01829.png,0,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables
1835,person,happy,white,man,28,25-34 years,bad,img/01835.png,0,that makes my lady junk tingle
1842,"dog, dog",,,,,,bad,img/01842.png,0,it's a wiener pit kinda like your mouth
1845,person,,,,,,neutral,img/01845.png,0,when you consume too much trans fat
1854,"person, person, person, horse",,,,,,bad,img/01854.png,1,goes for when an indian walk with his dog
1875,"person, bench, person, person, handbag, handbag, backpack, backpack",,,,,,bad,img/01875.png,0,does anyone know if he had a donor card? i need parts for my go-cart
1892,person,neutral,black,man,41,35-44 years,good,img/01892.png,0,i did not divide the country the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country
1894,person,,,,,,bad,img/01894.png,0,we haven't t seen any new jesus appearances on pancakes in a while i hope he's okay
1896,person,fear,middle eastern,man,42,35-44 years,bad,img/01896.png,0,terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: over 13 million people no islamic terrorism
1924,"person, person, person, person, person, person, frisbee, person, bed, backpack",sad,white,man,34,25-34 years,bad,img/01924.png,1,whats the difference between a feminist and a suicide vest? a suicide vest actually accomplishes something when its triggered
1943,"person, person",,,,,,bad,img/01943.png,1,person i chase: *shows clear signs he doesn't want to do anything with me* me: i'm gonna pretend i didn't see that
1953,"person, person, person, handbag, person, tv, person, person, person, person, elephant, person, person, person, person, person",,,,,,bad,img/01953.png,1,muslim +hunt = less muslims
1954,"car, person, car",,,,,,bad,img/01954.png,0,the best part about a prostitute dying on you is you get the second hour free
1956,"sports ball, dog",,,,,,bad,img/01956.png,0,i am a crocodile!
1962,person,,,,,,bad,img/01962.png,0,i put makeup for my profile photo
1972,cat,,,,,,bad,img/01972.png,0,you don't have a cat? this is your lucky day! i'm moving in!
1974,person,sad,latino hispanic,man,29,25-34 years,bad,img/01974.png,1,hiroshima hiroshima nagasaki everybody needs a friend
1975,"horse, person, horse",neutral,asian,man,24,18-24 years,bad,img/01975.png,1,valentine in islamic countries
2139,person,,,,,,bad,img/02139.png,0,no less beautiful
2146,"bird, bird, bird, bird",,,,,,bad,img/02146.png,0,from the bottom of my heart i would like to sincerely apologize..... for being white
2153,teddy bear,,,,,,good,img/02153.png,0,when you're arguing with someone and trying notto hit them
2156,person,,,,,,bad,img/02156.png,0,never forget
2158,bird,,,,,,neutral,img/02158.png,1,i like my women like i like my chickens held in captivity until i behead them
2165,"person, person",,,,,,good,img/02165.png,0,the difference between moderate muslim and radical muslim follow my allah or i kill you! follow my allah or he kill
2168,person,sad,white,man,30,25-34 years,bad,img/02168.png,0,how many fucking accounts do you assholes have?
2169,person,,,,,,bad,img/02169.png,1,"to see better, asians sometimes switch to fullscreen view"
2185,person,,,,,,neutral,img/02185.png,0,weeeeeee! back over the border you go!
2194,"person, person, person, person, person, person, person, person, person, person, handbag, person, sheep",,,,,,bad,img/02194.png,0,when you're a good farmer who raises healthy animals
2315,"tie, person, person",sad,white,man,35,35-44 years,neutral,img/02315.png,0,don't forget me!!!!!! i'm an asshole too!!!
2316,person,happy,black,man,45,45-54 years,bad,img/02316.png,1,they can kill the messenger but they can't kill the message
2317,person,sad,white,man,31,25-34 years,good,img/02317.png,1,white trash go to hell trump fuck donald trump
2351,,,,,,,bad,img/02351.png,1,when karen helps u camouflage the crackhouse
2358,person,happy,white,woman,31,25-34 years,bad,img/02358.png,1,diary of a wimpy kid hard luck anne frank is one wimpy kid
2365,person,,,,,,good,img/02365.png,0,"quick, which one is a bb gun? oops, too late . . . you're dead"
2367,"person, person, person, person, traffic light, horse, traffic light, person, truck, cow, cow, person, person, person, cow, person, traffic light, traffic light, horse, traffic light, cow, traffic light, traffic light, person, cow, traffic light, traffic light",,,,,,neutral,img/02367.png,0,dodge owners be like don't take a picture
2371,"person, cell phone, person",,,,,,bad,img/02371.png,0,why do all the mexican foos who work lmaooo at t-mobile look like this
2374,"tie, person, cup",neutral,black,man,32,25-34 years,good,img/02374.png,0,"i don't always fuck midgets but when i do, i go balls deep"
2381,person,,,,,,neutral,img/02381.png,1,"got braces friend told me ""you're so black, even your teeth are behind bars"""
2384,"car, person, person, handbag, person, person, person, car, motorcycle",,,,,,bad,img/02384.png,0,caitlin jenner showing off her new whip
2385,"person, motorcycle, person, person, person, person, person, car, motorcycle, motorcycle, car, person, person, bicycle, car, car, motorcycle, horse, person, motorcycle, car, motorcycle",neutral,black,man,33,25-34 years,bad,img/02385.png,0,every life is precious
2389,"person, person, person",,,,,,bad,img/02389.png,0,democrat jan schakowsky defends ilhan omar: 'she comes from a different culture' where they want to kill all the jews
2413,person,neutral,white,woman,28,25-34 years,bad,img/02413.png,0,"women ask for equal rights, and this is why"
2431,"person, potted plant, cell phone, person, oven, knife, orange, banana, cup",,,,,,bad,img/02431.png,1,subway is similar to prostitution you pay someone else to do your wife's job
2435,"person, bench, person",,,,,,bad,img/02435.png,0,when you type fidget spinner but it autocorrects to midget spinner
2439,"car, car, car, car, person, motorcycle, bicycle, train",fear,white,man,22,18-24 years,bad,img/02439.png,0,"superman's flying class was popular, but no one ever passed"
2456,"person, person",,,,,,good,img/02456.png,0,"people are loosing their minds over terrorism and isis in america... and veterans are all like... ""wake me up when i can go fuck shit up and not go to iail for it"""
2457,"person, person, person, person, person, person, person, person, person, person",,,,,,neutral,img/02457.png,1,i hate when i see a black out in my neighborhood but i still offer my neighbors a candle
2459,"person, bottle, fire hydrant, bottle, bottle, bowl",,,,,,bad,img/02459.png,1,"my dishwasher is acting strange, can anybody help?"
2461,"person, tie",happy,white,man,33,25-34 years,bad,img/02461.png,0,"whenever you feel stupid, remember this"
2467,chair,,,,,,bad,img/02467.png,0,how much did the holo cost
2471,"person, chair, chair, chair, banana, chair, dog, chair, chair, chair",,,,,,bad,img/02471.png,0,when you walk into the welfare office hello monkeys
2475,"dog, person, chair, person, chair, person, person, person, cell phone, handbag",,,,,,bad,img/02475.png,0,therapy dogs are now being trained to console rape victims of muslims
2476,person,,,,,,neutral,img/02476.png,0,im never doing a garden again!
2481,dog,,,,,,bad,img/02481.png,1,greetings tranny time to die
2483,boat,,,,,,bad,img/02483.png,0,group of people rescued from medditaranian sea by italian coast guard
2485,"person, person",sad,white,man,33,25-34 years,good,img/02485.png,0,real friendship is sending them a link to something terrible so you can both be traumatised at the same time i torture all my friends. it's how i show love
2497,person,,,,,,bad,img/02497.png,0,you're a wizard motherfucker
2519,person,neutral,asian,man,39,35-44 years,bad,img/02519.png,1,it's funny because he's fat!
2536,"car, bench, potted plant, person",,,,,,bad,img/02536.png,0,don't drink and drive
2537,"person, person, person, person, tie, person, person, person, boat, person, person, person, person, person, person",,,,,,bad,img/02537.png,0,arrest george soros for crimes against europe
2538,"bird, bird",,,,,,neutral,img/02538.png,0,when my girl pissed me off but she runs through the room in her draws me my dick
2543,"person, person",neutral,asian,woman,30,25-34 years,neutral,img/02543.png,0,catch me outside how bout dat i'll catch my damn self outside
2548,bird,,,,,,bad,img/02548.png,0,oi are you looking at me?
2561,person,neutral,asian,man,24,18-24 years,bad,img/02561.png,1,"we are coming to america one way or another! we will rape, pillage, & reap havoc riot on your nation while stealing your welfare"
2571,"person, person, person",happy,black,woman,34,25-34 years,bad,img/02571.png,0,former first lady during an interview
2576,bird,,,,,,good,img/02576.png,0,this is a snakes mouth it all makes fucking sense now
2581,"person, cell phone",sad,white,woman,27,25-34 years,neutral,img/02581.png,1,mussie guy tried to rape me he didn't make it to court
2594,"sheep, laptop, cow",,,,,,bad,img/02594.png,1,jamal! im pregnant!!!
2613,"person, couch, person",,,,,,bad,img/02613.png,0,after group sex mohammed is very tired
2614,"person, person, person, cell phone, person",,,,,,bad,img/02614.png,0,black boyfriend white boyfriend
2631,person,angry,white,man,28,25-34 years,neutral,img/02631.png,0,when your grandma sees you for the first time in a whole week he's so fucking big. me#irl
2647,"person, tie, person, person, person, person, person, tie, person",,,,,,bad,img/02647.png,0,notice how the kenyan skidmark has been silent about the mueller report?
2653,"boat, clock, clock",,,,,,bad,img/02653.png,1,england where moslems can rape your children and reporting it is a crime
2654,person,,,,,,bad,img/02654.png,0,when people are spreading rumors but you're unbothered
2657,"person, person, tennis racket, person",,,,,,bad,img/02657.png,1,oh look someone's returning a broken sandwich maker to walmart
2674,"person, car, chair, skateboard, motorcycle, car",happy,asian,man,26,25-34 years,good,img/02674.png,1,asian drivers test went as expected
2687,,,,,,,bad,img/02687.png,0,i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock
2691,person,neutral,indian,man,24,18-24 years,neutral,img/02691.png,0,teaching them how to hunt young
2716,person,,,,,,bad,img/02716.png,0,"felt cute might pray later, idk"
2718,"person, cell phone",,,,,,bad,img/02718.png,0,my kid threatened to hold his breath until i gave him dessert. he's now passed out on the kitchen floor i don't negotiate with terrorists
2719,bear,,,,,,bad,img/02719.png,1,your black neighbor after you called the cops
2735,keyboard,,,,,,bad,img/02735.png,0,when each letter is a mental disorder
2761,person,,,,,,bad,img/02761.png,0,i'm sorry i didn't mean to hurt your feelings
2763,"person, person, person, person, person, person, person, person, person, person, backpack, person, person, backpack, backpack, person, person, person, person, person, backpack, person, person",sad,white,woman,34,25-34 years,bad,img/02763.png,0,immigrants illegal aliens
2764,"person, tie, person, book",sad,black,man,30,25-34 years,bad,img/02764.png,1,closing time one last call for green cards you dont have to go home but you cant stay here
2768,person,,,,,,bad,img/02768.png,0,when you look in your neighbor's yard and see an illegal immigrant mowing their lawn
2769,"person, pizza, dining table",,,,,,bad,img/02769.png,0,"think we just discovered ""cop crack"" bacon wrapped donuts mother of god"
2793,"person, boat, boat, boat, boat, person, boat, person, boat, person, boat",,,,,,bad,img/02793.png,0,sea monkeys
2795,"person, person, person, person, person, person, chair, chair, chair, dining table, dining table, chair, dining table, dining table, dining table",happy,white,man,31,25-34 years,bad,img/02795.png,0,police academy graduation ceremony
2814,"person, person, person, person, person, person",fear,white,woman,45,45-54 years,bad,img/02814.png,1,want to party? yeah i'm down
2815,"orange, orange",,,,,,bad,img/02815.png,1,how do i like my eggs? same as i like my niggers beaten and separated from the whites
2816,person,surprise,asian,woman,34,25-34 years,bad,img/02816.png,1,help im downing
2831,"person, person, person, person, boat, boat, person, person",,,,,,bad,img/02831.png,1,where's jaws when you need him ?
2841,"tie, person, person, person",neutral,white,man,39,35-44 years,bad,img/02841.png,0,birthday because i don't care if it's happy
2845,bird,,,,,,bad,img/02845.png,0,they have sex with goats wipe their asses with their hands and drink camel piss but i'm the unclean one!
2849,"person, tie, knife",,,,,,bad,img/02849.png,1,abba ree i can fryyy
2853,person,neutral,middle eastern,man,29,25-34 years,bad,img/02853.png,1,"but islam can radicalize muslims muslims are not terrorist quran 8:39 ""kill all non believers till the only religion is islam"""
2854,person,happy,middle eastern,man,34,25-34 years,bad,img/02854.png,1,do gay midgets come out of the cabinet?
2857,person,,,,,,good,img/02857.png,1,"i love it when women go to school. it's like seeing a monkey on roller skates: it means nothing to them, but it's so adorable for us"
2863,"person, tie, person, person, person",happy,black,man,27,25-34 years,bad,img/02863.png,1,white men are the biggest terror threat except for my white boyfriend
2867,person,neutral,white,man,29,25-34 years,bad,img/02867.png,0,russia #freesentsov #freekolchenko
2876,"person, cup, cup",,,,,,bad,img/02876.png,1,your milkshake brings all the tards to the yard
2891,person,happy,middle eastern,woman,30,25-34 years,bad,img/02891.png,1,look! a blow up doll!
2894,person,neutral,white,man,36,35-44 years,neutral,img/02894.png,0,"how high are you no officer, its ""hi, how are you""?"
2914,"person, person",,,,,,bad,img/02914.png,0,the only thing that hinders you is your own motivation
2917,"person, person, person, person",,,,,,bad,img/02917.png,1,islamaphobe no i just hate the mother fuckers
2918,"person, person, person, person, person, person, person, person",neutral,middle eastern,man,32,25-34 years,bad,img/02918.png,0,a islamic leader among his followers
2935,"tie, person",surprise,asian,man,28,25-34 years,neutral,img/02935.png,0,copsuckers be like the whole boot daddy
2943,"person, person",,,,,,bad,img/02943.png,0,hide and go seek champion july 6 1942 - august 4 1944
2945,"person, person",,,,,,neutral,img/02945.png,1,you've been hungerstruck!
2946,person,happy,white,woman,25,25-34 years,bad,img/02946.png,1,is your girlfriend hot like me?
2947,"sheep, sheep, sheep, person, person, person, person, sheep, sheep, sheep",happy,middle eastern,man,35,35-44 years,bad,img/02947.png,0,meanwhile at the isis strip club
2951,person,,,,,,bad,img/02951.png,0,protesters throwing smoke bombs
2956,"bed, person",,,,,,neutral,img/02956.png,0,how i sleep knowing i'm going to hell in every religion
2958,person,neutral,white,man,32,25-34 years,neutral,img/02958.png,1,when you forget that your blind friend has a heightened sense of smell bro. chop a fuckin line up for me
2965,person,neutral,white,man,25,25-34 years,bad,img/02965.png,1,i once dumped a cross eyed chick thought she was seeing someone else
2967,"tie, tie, person, tie, person, person, person, person, person, person, person, person, person, person, person",fear,white,man,35,35-44 years,bad,img/02967.png,0,when the black kids start fighting at school
2971,"person, sports ball, person, person, person, person, person, person, person, person, person, person, person, person",,,,,,bad,img/02971.png,1,what do you get when you cross harvey price with a pritt stick? a sticky black spastic
2973,dog,,,,,,bad,img/02973.png,0,how long can i run? till the chain tightens
2974,,,,,,,good,img/02974.png,1,"it might look fucked up, but her handjobs are fucking unbelievable"
2975,"bowl, sandwich, sandwich",,,,,,bad,img/02975.png,0,you never realize how little self control you actually have until chips and salsa are in front of you at the mexican restaurant
2983,person,happy,white,man,37,35-44 years,bad,img/02983.png,0,large big mac no onions
2984,"person, person",neutral,black,woman,31,25-34 years,bad,img/02984.png,0,stop racism black children and white children are the same
2987,"person, tie, person, person, person, person, person, person, person, person, person, person, person",happy,white,man,40,35-44 years,neutral,img/02987.png,0,not my president not my residents
3124,"cell phone, person",sad,white,man,27,25-34 years,bad,img/03124.png,0,muhammed fixing his calculator
3128,person,angry,black,man,36,35-44 years,bad,img/03128.png,1,lazy day nothing to steal
3145,,,,,,,bad,img/03145.png,1,when each letter is a mental disorder
3148,person,,,,,,bad,img/03148.png,0,fact: ethiopian food is so rare that locals dont even eat it ethiopian food
3162,"person, cup, cell phone, vase, chair, dining table, chair",happy,white,man,31,25-34 years,neutral,img/03162.png,0,recruiter added me on linkedin so i guess things are getting pretty serious
3172,umbrella,,,,,,bad,img/03172.png,0,im white trash and im in trouble
3178,person,happy,white,woman,24,18-24 years,bad,img/03178.png,1,"""we fly planes into their buildings now they kiss our asses!"" """
3185,"person, bowl",,,,,,bad,img/03185.png,1,best thing about an ethiopian blowjob ? you know she's going to swallow
3186,"person, person, person",fear,white,man,37,35-44 years,neutral,img/03186.png,0,removes polish with chemicals nobody bats an eye commits crimes against the polish starts ww2
3187,"person, bottle",sad,white,man,36,35-44 years,bad,img/03187.png,0,every dad: *shaves beard* his own baby: i've never met this man in my life
3189,"person, clock",,,,,,neutral,img/03189.png,0,"if a man wants you, he will come and get you"
3241,"person, person",neutral,black,man,24,18-24 years,neutral,img/03241.png,1,when black people make white jokes when white people make black jokes
3246,"person, tie",happy,white,man,35,35-44 years,bad,img/03246.png,0,mobile nun
3248,"person, person, tie, person, person, person, toothbrush, spoon, tie",neutral,white,man,27,25-34 years,bad,img/03248.png,0,when you just can't stop thinking about obama
3251,person,sad,white,man,25,25-34 years,bad,img/03251.png,0,it is disgusting to laugh at gender dysphoria
3254,"tie, person",,,,,,bad,img/03254.png,1,"liberals: ""japan has gun control without issues, what makes you think it can't work here in the usa?"" me: (whispering) black people"
3256,"person, tie, person",angry,white,man,25,25-34 years,neutral,img/03256.png,0,when you ask for advice and they tell you to just be yourself you want me to get naked and start the revolution?
3257,person,,,,,,bad,img/03257.png,1,white trash not marriage material
3258,"person, person",,,,,,neutral,img/03258.png,1,"i heard we can get free steroids in australia please help feed and house this poor, defenceless refugee. don't be racist and let me in!"
3268,"person, person, horse",,,,,,bad,img/03268.png,0,hey mom the goats asshole is inside out. what do?
3271,person,,,,,,bad,img/03271.png,0,when your wife and girlfriend dont get along
3275,person,,,,,,bad,img/03275.png,0,the only time you can hang out with 2 dirty hookers and a tranny
3276,cat,,,,,,bad,img/03276.png,0,unless life also gives you water and sugar your lemonade is gonna suck
3279,"person, scissors, dining table",sad,middle eastern,man,39,35-44 years,bad,img/03279.png,0,aren't you tried of my jokes!
3281,giraffe,,,,,,bad,img/03281.png,0,the weekend be like
3285,person,happy,latino hispanic,man,33,25-34 years,bad,img/03285.png,0,i wanna see the most fucked up meme. lets see what you got
3289,"person, person, person",,,,,,bad,img/03289.png,0,fuck banks fuck indians too
3291,person,happy,white,woman,41,35-44 years,bad,img/03291.png,1,do you agree with pauline to stop islamic immigration to australia share if you agree
3296,"person, person, person, person, person, person",sad,white,woman,31,25-34 years,good,img/03296.png,0,come on over i'm having a party the place is crawling with pussy
3298,"tv, person, couch, bed",neutral,white,man,38,35-44 years,neutral,img/03298.png,0,thanks for visiting
3418,"person, person",,,,,,bad,img/03418.png,0,i got a flat on my way to the store
3421,"person, baseball glove",,,,,,bad,img/03421.png,1,"when you shoot up the school and somebody else gets blamed for it we stand here amid my achievement, not yours!"
3429,,,,,,,bad,img/03429.png,0,throwback thursday we was all by ourselves at one time we was the only once's in the new phase to build and close
3468,"person, dog, sink",,,,,,bad,img/03468.png,0,"my dishwasher is acting strange, can anybody help"
3472,"person, bed",,,,,,good,img/03472.png,1,"pet niguana for sale!! come with food dish, a few toys, and a screen lid so it can't get out $300 obo"
3479,"person, potted plant",,,,,,bad,img/03479.png,1,just waterin' the dirt
3482,"person, car, truck",sad,white,man,34,25-34 years,good,img/03482.png,0,i try not to be bias
3495,"tie, person",,,,,,good,img/03495.png,0,"when your homie throws a heart react on your status just fucking kiss me, man"
3528,dog,fear,white,man,34,25-34 years,good,img/03528.png,0,look at the bright side you are only half black now
3547,"person, person, person, car, person, tie, person, tie, person, tie",,,,,,bad,img/03547.png,0,people with dwarfism arguing
3574,"cow, dog",,,,,,good,img/03574.png,0,pull up your pants and back away from the goat!!
3591,person,surprise,white,woman,28,25-34 years,bad,img/03591.png,1,"joins the democrat party to indulge in deep seated supremacist proclivities. ""helping"" minorities also loves black cock"
3615,person,,,,,,bad,img/03615.png,0,joke time 3 muslims walk into a bar.
3629,dog,,,,,,bad,img/03629.png,0,hey man you gotta go home my parents are fighting again
3642,"person, person, sheep, horse, car, person, person, bicycle",,,,,,neutral,img/03642.png,0,when you catch your goat with another man
3659,person,,,,,,bad,img/03659.png,0,"""i hope the electoral college gets beat in the ncaa tournament"""
3675,"person, vase",,,,,,neutral,img/03675.png,0,because of trump i got fired from my job
3678,person,,,,,,neutral,img/03678.png,0,lock her up and throw away the key
3681,"person, tie",,,,,,bad,img/03681.png,0,when you're muslim but you have oil
3685,"person, person, person, backpack, backpack, backpack",,,,,,neutral,img/03685.png,0,not all angels reside in heaven.. many walk the battlefield.
3691,"person, person, person, person, book, person, person, person, person, chair, person, person, laptop, keyboard, chair",,,,,,bad,img/03691.png,0,koran class with the rohingya people
3715,,,,,,,bad,img/03715.png,0,great at making martinis terrible at stealing tambourines
3718,"sheep, person, sheep, sheep, sheep, sheep, sheep",happy,middle eastern,man,42,35-44 years,bad,img/03718.png,0,baaaa-utiful
3728,person,,,,,,bad,img/03728.png,0,"stalin: if you invade us, you break our agreement hitler: quicksaving.."
