id,text,sentiment_analysis
2317,white trash go to hell trump fuck donald trump,good
2351,when karen helps u camouflage the crackhouse  autistic child area,bad
2356,if i was arrested what do u think i got arrested 4?,bad
2358,The text in the image reads:  - diary of a - wimpy kid - hard luck - anne frank is one wimpy kid,bad
2364,"a jewih shop owner, wears a kippah or yarmulke whilst in his shop in tehran",bad
2365,"quick, which one is a bb gun?  oops, too late... you're dead",good
2367,dodge owners be like don't take a picture,neutral
2371,why do all the mexican foos who work at t-mobile look like this  Imaooo,bad
2374,"i don't always fuck midgets but when i do, i go balls deep",good
2381,"got braces  friend told me ""you're so black, even your teeth are behind bars""",neutral
2384,caitlin jenner showinging off her new whip,bad
2385,every life is precious,bad
2389,democrat jan schakowsky defends ilhan omar:'she comes from a different culture'  where they want to kill all the jews,bad
2413,"The text in the image reads:  ""women ask for equal rights, and this is why""",bad
2416,how do you piss off a female archeologist?  give her a used tampon and ask her what period it comes from.,neutral
2431,subway is similar to prostitution  you pay someone else to do your wife's job,bad
2435,when you type  fidget spinner but it autocorrects  to midget spinner.,bad
2439,"superman's flying class was popular, but no one ever passed",bad
2456,"people are loosing their minds over terrorism and isis in america...  and veterans are all like... ""wake me up when i can go fuck shit up and not go to jail for it""",good
2457,i hate when i see a black out in my neighborhood but i still offer my neighbors a candle,neutral
2459,"my dishwasher is acting strange, can anybody help?",bad
2461,"whenever you feel stupid, remember this",bad
2467,how much did the holo cost,bad
2471,when you walk into the welfare office  hello monkeys,bad
2475,therapy dogs are now being trained to console rape victims of muslims,bad
2476,"The text in the image says:  ""im never doing a garden again!""",neutral
2478,must.. resist... urge to.. kill whitey..,bad
2481,"The text in the image is:  - ""greetings tranny"" - ""time to die""",bad
2483,group of people rescued from medditaranian sea by italian coast guard,bad
2485,real friendship is sending them a link to something terrible so you can both be traumatised at the same time  i torture all my friends. it's how i show love.,good
2497,you're a wizard motherfucker,bad
2514,"if they're in a relationship, who makes the sandwiches?",bad
2518,when the dog bites you and you bite back to assert dominance,bad
2519,It's funny because he's fat!,bad
2536,don't drink and drive,bad
2537,arrest george soros  for crimes against  erope,bad
2538,when my girl pissed me off but she runs through the room in her draws  me my dick,neutral
2543,catch me outside how bout dat  i'll catch my damn self outside,neutral
2548,oi  are you looking at me?,bad
2561,"we are coming to america one way or another! we will rape, pillage, riot & reap havoc on your nation while stealing your welfare",bad
2568,whatsthe difference between heroin and i? cops think twice before shooting heroin,bad
2571,former first lady during an interview,bad
2576,this is a snakes mouth it all makes fucking sense now,good
2581,mussie guy tried to rape me he didn't make it to court,neutral
2584,imagine being so disgusting there have to be laws to try to stop normal people from hating you,good
2594,"The text in the image is:  - ""jamal!"" - ""im pregnant!!!""  These texts are displayed in different fonts and colors.",bad
2613,The text in the image says:  - after group sex - mohammed is very tired,bad
2614,black boyfriend white boyfriend,bad
2631,when your grandma sees you for the first time in a whole week  he's so fucking big.  me#irl,neutral
2634,and just like that... this sandwich maker doubles as an ironing board,good
2647,notice how the kenyan skidmark  has been silent about the mueller report?,bad
2649,and that was the last nativity play my son was invited to take part in,bad
2653,england  where moslems can rape your children and reporting it is a crime,bad
2654,when people are spreading rumors but you're unbothereded,bad
2657,oh look someone's returninging a broken sandwich maker to walmart,bad
2674,"The text in the image is:  - ""asian drivers test"" - ""went as expected""",good
2687,i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock,bad
2691,teaching them how to hunt young,neutral
2716,"felt cute might pray later, idk",bad
2718,my kid threatened to hold his breath until I gave him dessert. He's now passed out on the kitchen floor  I don't negotiate with terrorists,bad
2719,your black neighbor  after you called the cops,bad
2735,when each letter is a mental disorder,bad
2751,just admit it white america was better,bad
2761,i'm sorry  i didn't mean to hurt your feelings,bad
2763,The text in the image reads:  - immigrants - illegal aliens,bad
2764,"The text in the image is:  - ""closing time"" - ""one last call for green cards"" - ""you don't have to go home"" - ""but you can't stay here""",bad
2768,when you look in your neighbor's yard and see an illegal immigrant  mowing their lawn,bad
2769,"think we just discovered ""cop crack""  bacon wrapped donuts  mother of god",bad
2783,a picture of my great great great grand grandfather's's tractors  they don't make them like they used to,good
2789,when you got a warrant out for your arrest & you on the run......,bad
2793,sea monkeys,bad
2795,The text in the image reads:  - police academy - graduation ceremony,bad
2814,want to party? yeah I'm down,bad
2815,how do i like my eggs? same as i like my niggers beaten and separated from the whites,bad
2816,help  im downing,bad
2831,where's jaws when you need him?,bad
2841,birthday  because i don't care if it's happy.,bad
2845,they have sex with goats wipe their asses with their hands and drink camel piss  but i'm the unclean one!,bad
2846,the before image that not many people have seen,neutral
2849,abba ree i can fryyy,bad
2853,"The text in the image is:  - ""but islam can radicalize muslims"" - ""muslims are not terrorist"" - ""quran 8:39"" - ""kill all non believers till the only religion is islam""",bad
2854,"The text in the image says:  ""do gay midgets come out of the cabinet?""",bad
2857,"I love it when women go to school. It's like seeing a monkey on roller skates. It means nothing to them, but it's so adorable for us",good
2863,white men are the biggest terror threat  except for my white boyfriend,bad
2867,russia #freesentsov #freekolchenko,bad
2876,your milkshake brings all the tards to the yard,bad
2891,"The text in the image is:  - ""look!"" - ""a blow up doll!""",bad
2894,"how high are you  no officer, its ""hi, how are you""?",neutral
2914,the only thing that hinders you is your own motivation,bad
2917,"The text in the image reads:  ""islamaphobe no i just hate the motherfuckers""",bad
2918,a islamic leader among his followers,bad
2935,copsuckers be like  the whole boot daddy,neutral
2943,hide and go seek champion july 6 1942 - august 4 1944,bad
2945,you've been hungerstruck!,neutral
2946,"The text in the image says:  ""is your girlfriend hot like me?""",bad
2947,meanwhile  at the isis strip club,bad
2951,protesters throwing smoke bombs,bad
2956,how i sleep  knowing i'm going to hell in every religion,neutral
2958,when you forget that your blind friend has a heightened sense of smell bro. chop a fuckin line up  for me,neutral
2965,i once dumped a cross eyed chick thought she was seeing someone else,bad
2967,when the black kids start fighting at school,bad
2971,what do you get when you cross harvey price with a pritt stick? a sticky black spastic,bad
2973,how long can i run? till the chain tightens,bad
2974,"it might look fucked up, but her handjobs are fucking unbelievable",good
2975,you never realize how little self control you actually have until chips and salsa are in front of you at the mexican restaurant,bad
2983,large big mac no onions,bad
2984,stop racism  black children and white children are the same,bad
2987,The text in the image is:  - not my president - not my residents,neutral
3124,muhammed fixing his calculator,bad
3128,lazy day nothing to steal,bad
3145,when each letter is a mental disorder,bad
3146,this is inhuman the operation takes only a couple of seconds to perform but its image remains for years,bad
3148,fact: ethiopian food is so rare that locals don't even eat it  ethiopian food,bad
3162,recruiter added me on linkedin  so i guess things are getting pretty serious,neutral
3164,party tonight? i'm down,bad
3172,im white trash and im in trouble,bad
3178,"""we fly planes into their buildings now they kiss our asses!""",bad
3185,best thing about an ethiopian blowjob? you know she's going to swallow,bad
3186,removes polish with chemicals  nobody bats an eye  commits crimes against the polish  starts WW2,neutral
3187,every dad: *shaves beard* his own baby: I've never met this man in my life.,bad
3189,"if a man wants you, he will come and get you.",neutral
3197,i'm no bird expert but i'm guessing it's 4 females and 1 male,good
3214,The text in the image is:  bartender: how about a nice 12 yr old? him: boy or girl?,bad
3217,"they are like sperm you get millions, but only one works",bad
3241,The text in the image reads:  - When black people make white jokes - When white people make black jokes,neutral
3246,mobile nun,bad
3248,when you just can't stop thinking about obama,bad
3251,"The text in the image says:  ""it is disgusting to laugh at gender dysphoria""",bad
3254,"liberals: ""japan has gun control without issues, what makes you think it can't work here in the usa?"" me: (whispering) black people",bad
3256,when you ask for advice and they tell you to just be yourself  you want me to get naked and start the revolution?,neutral
3257,white trash not marriage material,bad
3258,"i heard we can get free steroids in australia  please help feed and house this poor, defenceceless refugee.  don't be racist and let me in!",neutral
3267,that feeling when you finish your homework in record time and have extra time to chill,neutral
3268,hey mom  the goats asshole is inside out. what do?,bad
3271,when your wife and girlfriend don't get along,bad
3275,the only time you can hang out with 2 dirty hookers and a tranny,bad
3276,unless life also gives you water and sugar  your lemonade is gonna suck,bad
3279,aren't you tried of my jokes!,bad
3281,the weekend be like,bad
3285,i wanna see the most fucked up meme. lets see what you got,bad
3289,fuck banks  fuck indians too,bad
3291,do you agree with pauline to stop islamic immigration to australia  share if you agree,bad
3296,come on over I'm having a party the place is crawling with pussy,good
3298,thanks for visiting,neutral
3418,i got a flat on my way to the store,bad
3421,"when you shoot up the school and somebody else gets blamed for it  we stand here amid my achievement, not yours!",bad
3429,throwback thursday we was all by ourselves at one time  we was the only once's in the new phase to build and close,bad
3468,"my dishwasher is acting strange, can anybody help",bad
3472,"pet niguana for sale! come with food dish, a few toys, and a screen lid so it can't get out $300 obo",good
3479,just waterin' the dirt,bad
3482,i try not to be bias,good
3495,"when your homie throws a  heart react on your status  just fucking kiss me, man.",good
3519,i'm going home i'm russian,bad
3524,terrorist can come to this country way to easy,neutral
3528,look at the bright side you are only half black now,good
3547,people with dwarfism arguing,bad
3567,potato is my favorite color of the alphabet,bad
3568,time to play rich VS the constitution,bad
3574,pull up your pants and back away from the goat!!,good
3591,"joins the democrat party to indulge in deep seated supremacist proclivities.  ""helping"" minorities also loves black cock",bad
3615,joke time 3 muslims walk into a bar..,bad
3624,just a traditional muslim man with a beard,neutral
3629,hey man you gotta go home my parents are fighting again,bad
3642,when you catch your goat with another man,neutral
3659,"""I hope the electoral college gets beat in the NCAA tournament""",bad
3675,because of trump i got fired from my job,neutral
3678,lock her up and throw away the key,neutral
3681,when you're muslim  but you have oil,bad
3685,not all angels reside in heaven..  many walk the battlefield..,neutral
3691,"The text in the image reads:  ""koran class with the rohingya people""",bad
3715,great at making martinis terrible at stealing tambourines,bad
3718,baaaa-utiful,bad
3728,"stalin: if you invade us, you break our agreement hitler: A LAST APPEAL TO REASON BY ADOLF HITLER Speech before the Reichstag, 19 July, 1940 World War II: Europe's Tragic quicksaving...",bad
3745,your order comes to $37.50  and your white privilege discount brings the total to $37.50,bad
3751,"The text in the image is:  ""I yelled catch! I swear I thought she was ready""",bad
3756,white people have no right to live in africa... but it's a blackman's right to live in any european country he chooses?,good
3759,what's the difference  between hillary and putin?  putin actually wins the  elections he rigs.,bad
3764,"The text in the image is:  ""my black flag brings all the goats to the yard  and they're like allah akbar and then I'll put a bomb in a car. I'd teach u but I have no arms""",neutral
3765,american kids all across american storefronts!!! freeway off n on ramps!!! street corners!!! begging for $$$ for the re-alcohol!!! n drugs!!!,neutral
3789,The text in the image reads:  - anne frankly - i don't care,bad
3794,The text in the image is:  - tranny jesus - died for your - eyebrows,neutral
3795,even i can see you're a cunt,bad
3798,"hey, i just met you and this is crazy but here's your number...  so camping, maybe?",bad
3841,when i grow up...  lol nevermind,neutral
3845,rev al sharpton  that gorilla was 17 black and unarmed,bad
3847,meanwhile at the isis strip club,bad
3849,gmc short for give me cock,bad
3854,did a lot of medical research didn't hurt any animals,neutral
3861,when you realize you fought on the wrong side during WWII,bad
3864,you can't be the victim of a school shooting if you're the school shooter,bad
3865,after 3 million years of evolution  we still love to relax,bad
3869,a mother's love for the child is a divine thing,bad
3871,"The text in the image is:  ""justin trudeau the imam of canada""",bad
3874,one of the poor defenseless refugees we hear about  she's smuggling 31 pounds of pure heroin,neutral
3875,we're glad you're home the russians pooped in the hallway!,bad
3896,"The text in the image reads:  ""let me salute to hitler the great he said 'i would have killed all the jews of the world, but i kept some to show the world why i killed them'""",good
3917,attacking a person for who they are or where  they're from is an attack on their people and culture as a whole,neutral
3924,three k's a day keeps the minorities away,bad
3927,after group sex mohammed is very tired,good
3942,they're just like anyone else,good
3947,no one: steven hawking:,bad
3957,lawn darts  muslim style,bad
3962,where's my water?,bad
3968,when you're watching the #roots remake  but you're in an interracial relationship,bad
3971,so i was sucking on her t * ts then the husband walks in and i,bad
3976,"warning ""every"" country that has become involved in muslim immigration has eventually become an islamic state and don't the fate of your country will be any different islam is a cancer for which there is no cure",bad
3981,siri take me home starting route to gym,bad
3984,when your brother sucks at driving,bad
3987,the newest hate group the dumb stupid klan,bad
4125,Sorry I'm late have the racist comments started yet?,bad
4126,"hitler be like ""you sure i killed 6 million? they aint up here",good
4127,here we go again. us paralympics team refuses to stand during st..,bad
4132,"dear ""dad"". i did it without you. love, the daughter you left behind.",bad
4135,there's only one race the human race  and that thing on the right? that's a monkey in human clothes,bad
4138,what do a bicycle and a nigger have in common? neither works without chains,bad
4152,over 50 south africans lost their lives after police opened fire during a protest,bad
4153,"let's end racism  I HAVE A DREAM Martin Luther King Jr. The March on Washington for Jobs and Freedom August 28, 1963",neutral
4156,me after i take that first sip of mcdonald'ss sprite  kwispy,good
4157,a real man... loads the dishwasher every night!!,bad
4162,one of the most brilliant minds in science,neutral
4163,"The text in the image says:  ""I will kill this white man ooo wwe fans""",bad
4175,"The text in the image is:  ""im not racist because racism is a crime and crime is for black people""",bad
4183,back off murderers FAT POWER we fight for justice,bad
4185,when you need a diaper because you're a still a baby,neutral
4187,this is how muslims celebrate new year,bad
4217,have a coke and a smile.  regen: always  coca cola coke adds life. ma: nevermore coca cola,bad
4239,when you fart in crowd and try to look normal,neutral
4253,"The text in the image reads ""sad world history.""",bad
4256,me and styrofoam... yup...both white trash,bad
4257,"how sad it must be for supporters - believing that scientist, scholars, historians, economist, and journalists have devoted their entire lives to deceiving america, while a reality-tv star with decades of fraud and exhaustively-documented lying is your beacon of honesty",good
4263,holocaust jokes are offensive ann frankly aren't funny,bad
4265,"The text in the image says ""farming simulator 1800.""",bad
4267,I'm not saying it was muslims but it was muslims,bad
4268,guess which one is which? 1. transgender; 2. suicide bomber or 3. a floor lamp,bad
4273,have you seen my bag,bad
4278,never let someone who has done nothing  tell you how to do anything,neutral
4281,"The text in the image is:  - ""patty cake patty cake butthole"" - ""hand i got tourettes syndrome"" - ""chicken fuc ked ham""",bad
4287,"that's it, back to the kitchen! where's my sammich?  women's day is over!",bad
4295,when black people say they are native american,bad
4296,"The text in the image reads:  ""now imagine if native american cowboys rode bicycles""",bad
4316,"algebra and geometry are fine, but graphing is where you draw a line",neutral
4319,"sometimes, you have to water your farm equipment so it doesn't overheat",neutral
4321,"""If that uckin bastard wins, we're all going to hang from nooses! You better fix this shit!""  -hillary clinton email to donna brazile october 17, 2016",bad
4325,it's a 3-day weekend pace yourself,bad
4326,when the chow mein was on point but you kinda miss your cat,bad
4328,if only dogs could pick up after themselves,neutral
4356,i only wear silk panties cotton ones remind me of slavery,neutral
4361,"The text in the image reads:  ""islam turning every single country it touches into a shithole for over 1400 years""",bad
4372,my sister gave me this  haircut after i fucked her.,neutral
4379,The text in the image is:  ``` tfw you hear that you should be able to walk again with 2 months of pt ```,bad
4387,"sit down kids, i will now tell you how i met your mother",bad
4397,"The text in the image is:  ""what do you call a a retarded jew? auschwistic""",good
4529,"please,''share' this piggy he upsets muslims",bad
4536,"he's not a great debater, he's not a smooth talking politician, he's not part of the establishment, but he is a true american patriot!  we cannot sit back and watch them destroy this man who is trying to help us!  he can clean up america and they know it!",good
4538,"bows here, bows there, bows everywhere",bad
4563,"yeah, we know  ""no president has done what I have done.""",neutral
4568,me during no shave november,neutral
4569,when is the time to eat  i am hungry,bad
4579,maybe the catholic church protects pedophile preists because  the last time christianity shunned a pedophile he started islam?,good
4582,this has no place on american soil,neutral
4583,mom won't let me use the oven with my jewish friends,bad
4591,rep. ilhan omar: 9/11 was 'some people did something' here's your something 2977 people dead by terrorism,bad
4597,terrorist attacks innocent people with guns  leaders want innocent people to give up their guns and become even more defenseless...,bad
4615,It's the religion of peace. join exclusive islam!,bad
4619,"the most popular, but least talked about, white trash barbie! kids b like ""not my fault you didn't pay the cable!""",good
4621,you are what you eat meanwhile in africa,bad
4623,"six kids, no husband, no job, and food stamps $10,000 back in income taxes",bad
4629,halloween was great this year,bad
4637,when your chinese food shows up completely uncooked,neutral
4639,"the female body is a gentle, delicate flower  except for the vagina. pound the fucking vagina",neutral
4651,what every muslim  looks like to me,bad
4658,"so, you think by being a a muslim sympathizer, this will somehow keep us from killing you? you are a special kind of stupid",bad
4675,i called my boy  whatchoo goin do bout that spray bottle now.,bad
4682,why can't we spend money on education instead of drugs,bad
4683,"when you make a meme using a different language that everyone can still understand: no es mucho, pero es trabajo",neutral
4689,illegal immigration the cowboy way  we'll know them if they try to come back in!,good
4695,when a badge and gun aren't enough to cope with your fragile senses of self worth and masculinity:  roadhouse!,neutral
4712,"just figured out trump conned you?  not too fucking bright, are you?",bad
4716,"makeup artist $4,000 / month personal stylist $15,000 / week  i can't tell the difference",bad
4718,isis you mean them goat fuckers that don't like bacon,good
4719,how you see it how the turkey sees it,bad
4726,islamic state soldiers celebrating we should kill them all,bad
4729,what if punk is just gangsta rap for white kids,neutral
4732,"The text in the image says:  ""trump supporters be like make america great again""",bad
4735,smile even in the worst of times,bad
4758,"my fragile heart at my sex drive  - stay back, slut",neutral
4759,"The text in the image says:  ""im ready to have some fun""",bad
4762,scientist are working hard to cure them all,bad
4765,"blame it all on my roots, i showed up in boots.. and ruined your jihad affair",bad
4768,really? eating pork is gross but marriage to a minor isn't?,neutral
4769,"if she's pouting like this and you don't immediately  drop the argument, motherfucker you gay",bad
4782,The text in the image is:  - adorable african kid - appreciating life,bad
4783,"where you can get with that bull shit  what is ""fuck outta here  correct",neutral
4786,"being transgender is a mental illness  it's a rejection of reality, leads to anxiety, depression, and in some cases self-mutilation and/or suicide. that's not healthy",bad
4791,if you're a gentleman then nothing may disturb you  but if you're a hungry sex maniac then there's no dress which can provide security for any women,bad
4798,are you bored? join spastics with special admin powers now,bad
4813,when you haven't stolen for over 2 weeks..,bad
4819,"jew: *walks out of the shower* hey man, can i get a towel?  auschwitz guard:",bad
4823,"The text in the image says:  ""definitely a new cultural era!""",bad
4827,me: puts bag of popcorn into the microwave every one else at the senior center:,bad
4857,...even the dumb jews know that! trump is a racist..,bad
4859,"The text in the image is:  - ""arnold schwarzenigger"" - ""i'll be black""",bad
4861,"waiter, another order of crow for my anti-trump friends.",bad
4863,a little hood. a little hippie..,bad
4873,manual tranny  automatic tranny  rebuilt tranny,bad
4876,goin,bad
4879,i hear a funny joke about dishwashers,bad
4891,"The text in the image says ""cannibalism.""",bad
4892,"send him to...  meowschwitz  ONLINE USA INC. P.O. Box 75, Beverly Hills, Ca. 90213. Phone 310 587 0025. Fax 310 587 0027",bad
4912,immigrantswave our flag invaders wave their own,bad
4915,they want this not beause they love you they need to mix breed to preserve their species,bad
4917,similar to sharks because all the great ones are white,good
4918,"The text in the image says:  ""why do asians have eyes like this? isn't it hard to see?""",neutral
4923,beergasm  that moment when you take your first sip of beer after a long day,bad
4926,"knowing white people, that's probably the babies father",bad
4928,dishwasher for sale missing parts,bad
4938,hen your unvaccinated chi rvives 18 years but cides to kill himself  you were the chosen one,bad
4958,how i see black people getting trolled on the internet,bad
4971,happy birthday sugar tits,bad
4975,look at me  this is my meme now,neutral
4976,sh*t someone added too much soap to the dishwasher again,neutral
4986,the enemy within  linda sarsour  ocasio-cortez  ilhan omar  rashida tlaib,bad
5123,"The text in the image reads:  ""When cops question someone who just got robbed did anything seem strange? like maybe something black?""",good
5126,can you smell what the reich is cooking,bad
5127,we'll kill you over some trivial shit  then fucking mock your dying words,neutral
5129,"you ever get laid in a sleeping bag? it's awful.  you can't even move, you're drenched in sweat, and your scout master is covering your mouth.",good
5134,the banality of evil,bad
5138,i should not be expected to pledge allegiance to any country including america,bad
5148,the hardest part of breaking up with a japanese girlfriend  is having to drop the bomb on her twice before she gets it,good
5162,went down on a muslim bitch her pussy was the bomb!,bad
5164,dark humor is like food not everyone gets it,neutral
5172,"The text in the image reads:  ""islam is the religion of peace! if you don't agree i kill you!""",bad
5174,when you start burning calories instead of people,neutral
5183,when you run out of bras and have to hold the girls up on your own,bad
5189,siri take me home starting route to jail,bad
5198,went outside today yolo,bad
5213,the families of the hillsborough tragedy were denied legal aid....  but shamima begum gets it to fight for her uk citizenship  our system is a sick joke! - martin costello  [Image of a protest],bad
5214,pull up your pants and back away from the goat!!,good
5218,things i love to pull behind my trunck,bad
5219,just admit it. white america was better,bad
5231,the name's bob... bob,bad
5241,"last year tyrone got a new job, started building his credit, and spendinging more time with his kids  then something amazing started to happen!",bad
5249,i am still so confused about the strategies in this game,neutral
