id,text
1498,democrats claim daca kids shouldn't have to pay for their parent's crimes...  ...but white people are still responsible for 17th century slave owners??
1524,when you catch your goat with another man
1526,put the money in a bag. now! that will be $0.15
1527,oh no i can't run anymore
1529,acceptance of individuality is not a disgusting thing
1546,"The text in the image says:  ""kill the jews and muslims for being anti-white"""
1547,how mexicans be like...  when they hear their friends kid is having a birthday party
1548,"what are they fighting over? is it:  a) the last pan ducle b) he accidentally touch the homies hand passing a beer? c) foo used the last of the three flowers. d) homie said ""i got you on gas"" but he only has $3!"
1564,puts on sunblock doesn't protect from harmful rays
1568,"The text in the image reads:  ""do you think a terrorist has or could infiltrate our goverernment???"""
1569,when you can't decide to pre heat the oven  or just throw the meal in right away
1576,"The text in the image is:  ""When your ex ask you for help"""
1578,"The text in the image says ""sea monkeys."""
1579,"Muslim figure: ""We must have pork-free menus or we will leave U.S.""  Bacon America great again!"
1589,has an orgasm...  ...shoots out tranny fluid
1598,men are like dogs we're excited to see you...  and have no clue what you're mad about
1627,jew jerky: leave out in the sun until all moisture is gone  store in a cool dark place for 3 days
1634,"aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!"""
1637,this time jesus you're not getting away
1642,this would be racist  if black people could read
1643,i'm not a racist  my shadow is black
1649,"The text in the image reads:  ""american cops when they graduate police academy let the black man come forth! let murder be done upon him!"""
1653,"a girl asks her mom, ""why am i black and you're white?""  she says, ""the way that party went, you're lucky you don't bark."""
1658,first rule of fight club..
1672,when the new call of duty comes out and you're already camping
1682,"The text in the image is:  ""fuck allah fuck islam and guck the child raper muhammad  and yes that's pork in the quran"""
1694,which one should we butcher first.
1698,this guy cut her head off workplace violence my ass
1726,a real man loads the dishwasher every night
1734,"and that was the last time we let uncle larry babysit  Little Jack Telf Was put on the shelf Because he would not spell When his aunt Grace [pie] Saw his sorrowful face, She gave him a pie."
1736,korean war soldiers come home msnbc no live coverage nbc no coverage cnn 58 seconds abc 24 seconds share if they should be ashamed
1742,in just one hour from now  i'll only have 4 hours left until i have to work a mere 3 hours
1743,sen mitt romney wall declaration  let's make this his last to  utah  voted against trumps emergency
1746,everyone told me you gonna be a blessing
1749,so then we told them  cannabis is dangerous and pharmaceuticals are good for you
1756,she is a fast runner
1763,want a spin?
1765,"after a girl dies, what organ in her body stays warm? my dick"
1793,don't mind me i'm only watering my muslims
1794,i beat children
1796,life hack #23  how to get stoned with no weed
1823,i too was once a male trapped in a female's body  but then i was born
1827,if your man is offended by this then he's never been hunting
1829,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables
1835,that makes my lady junk tingle
1836,can you hear me at the back?
1842,it's a wiener pit kinda like your mouth
1845,when you consume too much  trans fat
1854,when an indian goes for walk with his dog
1865,I'm this pretty because both my parents are white
1875,does anyone know if he had a donor card?  i need parts for my go-cart
1892,i did not divide the country  the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country
1894,we haven't t seen any new jesus appearances on pancakes in a while  i hope he's okay.
1896,terrorism is just part and parcel of living in a big city. sadiq khan london mayor  tokyo: over 13 million people no islamic terrorism
1924,"The text in the image reads:  - ""whats the difference between a feminist and a suicide vest?"" - ""a suicide vest actually accomplishes something when its triggered"""
1925,i am not racist i just don't like brown sugar
1936,we said we would never forget why are you voting them into our governement?
1937,"when you find a shooter the same day you plan a bombing, so you team up"
1943,person i chase: *shows clear signs he doesn't want to do anything with me*  me: i'm gonna pretend i didn't see that
1953,"The text in the image reads:  ""muslim + hunt = less muslims"""
1954,the best part about a prostitute dying on you is you get the second hour free
1956,i am a crocodile!
1962,i put makeup for my profile photo
1967,when you decide to stop racism by burning its symbol
1972,you don't have a cat? this is your lucky day! i'm moving in!
1974,The text in the image is:  - hiroshima - hiroshima - nagasaki - everybody needs a friend
1975,valentine in islamic countries
2139,no less beautiful
2143,"doesn't have food, water, electricity proud of nuclear weapons"
2145,"and then I asked mom, what's for dinner?"
2146,from the bottom of my heart i would like to sincerely apologize.....  for being white
2153,when you're arguing with someone  Kermit the Frog  HOLLYWOOD WALK OF FAME Presented To Kermit The Frog on the occasion of the placement Hollywood Walk of Fame November 11 Hollywood Chamber  and trying notto hit them
2156,never forget
2157,"mohammed  i'm pregnant....  don't sass me, you know it's funny! ~cupcakes"
2158,i like my women like i like my chickens held in captivity until i behead them
2165,The difference between moderate Muslim and radical Muslim  follow my allah or i kill you!  follow my allah or he kill
2168,how many fucking accounts do you assholes have?
2169,"to see better, asi ans sometimes switch to fullscreen view"
2185,wceeeeee! back over the border you go!
2194,when you're a good farmer who raises healthy animals
2315,don't forget me!!!!!! i'm an asshole too!!!
2316,they can kill the messenger but they can't kill the message
2317,white trash go to hell trump fuck donald trump
2351,when karen helps u camouflage the crackhouse  autistic child area
2356,if i was arrested what do u think i got arrested 4?
2358,The text in the image reads:  - diary of a - wimpy kid - hard luck - anne frank is one wimpy kid
2364,"a jewih shop owner, wears a kippah or yarmulke whilst in his shop in tehran"
2365,"quick, which one is a bb gun?  oops, too late... you're dead"
2367,dodge owners be like don't take a picture
2371,why do all the mexican foos who work at t-mobile look like this  Imaooo
2374,"i don't always fuck midgets but when i do, i go balls deep"
2381,"got braces  friend told me ""you're so black, even your teeth are behind bars"""
2384,caitlin jenner showinging off her new whip
2385,every life is precious
2389,democrat jan schakowsky defends ilhan omar:'she comes from a different culture'  where they want to kill all the jews
2413,"The text in the image reads:  ""women ask for equal rights, and this is why"""
2416,how do you piss off a female archeologist?  give her a used tampon and ask her what period it comes from.
2431,subway is similar to prostitution  you pay someone else to do your wife's job
2435,when you type  fidget spinner but it autocorrects  to midget spinner.
2439,"superman's flying class was popular, but no one ever passed"
2456,"people are loosing their minds over terrorism and isis in america...  and veterans are all like... ""wake me up when i can go fuck shit up and not go to jail for it"""
2457,i hate when i see a black out in my neighborhood but i still offer my neighbors a candle
2459,"my dishwasher is acting strange, can anybody help?"
2461,"whenever you feel stupid, remember this"
2467,how much did the holo cost
2471,when you walk into the welfare office  hello monkeys
2475,therapy dogs are now being trained to console rape victims of muslims
2476,"The text in the image says:  ""im never doing a garden again!"""
2478,must.. resist... urge to.. kill whitey..
2481,"The text in the image is:  - ""greetings tranny"" - ""time to die"""
2483,group of people rescued from medditaranian sea by italian coast guard
2485,real friendship is sending them a link to something terrible so you can both be traumatised at the same time  i torture all my friends. it's how i show love.
2497,you're a wizard motherfucker
2514,"if they're in a relationship, who makes the sandwiches?"
2518,when the dog bites you and you bite back to assert dominance
2519,It's funny because he's fat!
2536,don't drink and drive
2537,arrest george soros  for crimes against  erope
2538,when my girl pissed me off but she runs through the room in her draws  me my dick
2543,catch me outside how bout dat  i'll catch my damn self outside
2548,oi  are you looking at me?
2561,"we are coming to america one way or another! we will rape, pillage, riot & reap havoc on your nation while stealing your welfare"
2568,whatsthe difference between heroin and i? cops think twice before shooting heroin
2571,former first lady during an interview
2576,this is a snakes mouth it all makes fucking sense now
2581,mussie guy tried to rape me he didn't make it to court
2584,imagine being so disgusting there have to be laws to try to stop normal people from hating you
2594,"The text in the image is:  - ""jamal!"" - ""im pregnant!!!""  These texts are displayed in different fonts and colors."
2613,The text in the image says:  - after group sex - mohammed is very tired
2614,black boyfriend white boyfriend
2631,when your grandma sees you for the first time in a whole week  he's so fucking big.  me#irl
2634,and just like that... this sandwich maker doubles as an ironing board
2647,notice how the kenyan skidmark  has been silent about the mueller report?
2649,and that was the last nativity play my son was invited to take part in
2653,england  where moslems can rape your children and reporting it is a crime
2654,when people are spreading rumors but you're unbothereded
2657,oh look someone's returninging a broken sandwich maker to walmart
2674,"The text in the image is:  - ""asian drivers test"" - ""went as expected"""
2687,i hang a sock on my doorknob so my roommate knows not to come in because i'm busy fucking the other sock
2691,teaching them how to hunt young
2716,"felt cute might pray later, idk"
2718,my kid threatened to hold his breath until I gave him dessert. He's now passed out on the kitchen floor  I don't negotiate with terrorists
2719,your black neighbor  after you called the cops
2735,when each letter is a mental disorder
2751,just admit it white america was better
2761,i'm sorry  i didn't mean to hurt your feelings
2763,The text in the image reads:  - immigrants - illegal aliens
2764,"The text in the image is:  - ""closing time"" - ""one last call for green cards"" - ""you don't have to go home"" - ""but you can't stay here"""
2768,when you look in your neighbor's yard and see an illegal immigrant  mowing their lawn
2769,"think we just discovered ""cop crack""  bacon wrapped donuts  mother of god"
2783,a picture of my great great great grand grandfather's's tractors  they don't make them like they used to
2789,when you got a warrant out for your arrest & you on the run......
2793,sea monkeys
2795,The text in the image reads:  - police academy - graduation ceremony
2814,want to party? yeah I'm down
2815,how do i like my eggs? same as i like my niggers beaten and separated from the whites
2816,help  im downing
2831,where's jaws when you need him?
2841,birthday  because i don't care if it's happy.
2845,they have sex with goats wipe their asses with their hands and drink camel piss  but i'm the unclean one!
2846,the before image that not many people have seen
2849,abba ree i can fryyy
2853,"The text in the image is:  - ""but islam can radicalize muslims"" - ""muslims are not terrorist"" - ""quran 8:39"" - ""kill all non believers till the only religion is islam"""
2854,"The text in the image says:  ""do gay midgets come out of the cabinet?"""
2857,"I love it when women go to school. It's like seeing a monkey on roller skates. It means nothing to them, but it's so adorable for us"
2863,white men are the biggest terror threat  except for my white boyfriend
2867,russia #freesentsov #freekolchenko
2876,your milkshake brings all the tards to the yard
2891,"The text in the image is:  - ""look!"" - ""a blow up doll!"""
2894,"how high are you  no officer, its ""hi, how are you""?"
2914,the only thing that hinders you is your own motivation
2917,"The text in the image reads:  ""islamaphobe no i just hate the motherfuckers"""
2918,a islamic leader among his followers
2935,copsuckers be like  the whole boot daddy
2943,hide and go seek champion july 6 1942 - august 4 1944
2945,you've been hungerstruck!
2946,"The text in the image says:  ""is your girlfriend hot like me?"""
2947,meanwhile  at the isis strip club
2951,protesters throwing smoke bombs
2956,how i sleep  knowing i'm going to hell in every religion
2958,when you forget that your blind friend has a heightened sense of smell bro. chop a fuckin line up  for me
2965,i once dumped a cross eyed chick thought she was seeing someone else
2967,when the black kids start fighting at school
2971,what do you get when you cross harvey price with a pritt stick? a sticky black spastic
2973,how long can i run? till the chain tightens
2974,"it might look fucked up, but her handjobs are fucking unbelievable"
2975,you never realize how little self control you actually have until chips and salsa are in front of you at the mexican restaurant
2983,large big mac no onions
2984,stop racism  black children and white children are the same
2987,The text in the image is:  - not my president - not my residents
3124,muhammed fixing his calculator
3128,lazy day nothing to steal
3145,when each letter is a mental disorder
3146,this is inhuman the operation takes only a couple of seconds to perform but its image remains for years
3148,fact: ethiopian food is so rare that locals don't even eat it  ethiopian food
3162,recruiter added me on linkedin  so i guess things are getting pretty serious
3164,party tonight? i'm down
3172,im white trash and im in trouble
3178,"""we fly planes into their buildings now they kiss our asses!"""
3185,best thing about an ethiopian blowjob? you know she's going to swallow
3186,removes polish with chemicals  nobody bats an eye  commits crimes against the polish  starts WW2
3187,every dad: *shaves beard* his own baby: I've never met this man in my life.
3189,"if a man wants you, he will come and get you."
3197,i'm no bird expert but i'm guessing it's 4 females and 1 male
3214,The text in the image is:  bartender: how about a nice 12 yr old? him: boy or girl?
3217,"they are like sperm you get millions, but only one works"
3241,The text in the image reads:  - When black people make white jokes - When white people make black jokes
3246,mobile nun
3248,when you just can't stop thinking about obama
3251,"The text in the image says:  ""it is disgusting to laugh at gender dysphoria"""
3254,"liberals: ""japan has gun control without issues, what makes you think it can't work here in the usa?"" me: (whispering) black people"
3256,when you ask for advice and they tell you to just be yourself  you want me to get naked and start the revolution?
3257,white trash not marriage material
3258,"i heard we can get free steroids in australia  please help feed and house this poor, defenceceless refugee.  don't be racist and let me in!"
3267,that feeling when you finish your homework in record time and have extra time to chill
3268,hey mom  the goats asshole is inside out. what do?
3271,when your wife and girlfriend don't get along
3275,the only time you can hang out with 2 dirty hookers and a tranny
3276,unless life also gives you water and sugar  your lemonade is gonna suck
3279,aren't you tried of my jokes!
3281,the weekend be like
3285,i wanna see the most fucked up meme. lets see what you got
3289,fuck banks  fuck indians too
3291,do you agree with pauline to stop islamic immigration to australia  share if you agree
3296,come on over I'm having a party the place is crawling with pussy
3298,thanks for visiting
3418,i got a flat on my way to the store
3421,"when you shoot up the school and somebody else gets blamed for it  we stand here amid my achievement, not yours!"
3429,throwback thursday we was all by ourselves at one time  we was the only once's in the new phase to build and close
3468,"my dishwasher is acting strange, can anybody help"
3472,"pet niguana for sale! come with food dish, a few toys, and a screen lid so it can't get out $300 obo"
3479,just waterin' the dirt
3482,i try not to be bias
3495,"when your homie throws a  heart react on your status  just fucking kiss me, man."
3519,i'm going home i'm russian
3524,terrorist can come to this country way to easy
3528,look at the bright side you are only half black now
3547,people with dwarfism arguing
3567,potato is my favorite color of the alphabet
3568,time to play rich VS the constitution
3574,pull up your pants and back away from the goat!!
3591,"joins the democrat party to indulge in deep seated supremacist proclivities.  ""helping"" minorities also loves black cock"
3615,joke time 3 muslims walk into a bar..
3624,just a traditional muslim man with a beard
3629,hey man you gotta go home my parents are fighting again
3642,when you catch your goat with another man
3659,"""I hope the electoral college gets beat in the NCAA tournament"""
3675,because of trump i got fired from my job
3678,lock her up and throw away the key
3681,when you're muslim  but you have oil
3685,not all angels reside in heaven..  many walk the battlefield..
3691,"The text in the image reads:  ""koran class with the rohingya people"""
3715,great at making martinis terrible at stealing tambourines
3718,baaaa-utiful
3728,"stalin: if you invade us, you break our agreement hitler: A LAST APPEAL TO REASON BY ADOLF HITLER Speech before the Reichstag, 19 July, 1940 World War II: Europe's Tragic quicksaving..."
3745,your order comes to $37.50  and your white privilege discount brings the total to $37.50
3751,"The text in the image is:  ""I yelled catch! I swear I thought she was ready"""
3756,white people have no right to live in africa... but it's a blackman's right to live in any european country he chooses?
3759,what's the difference  between hillary and putin?  putin actually wins the  elections he rigs.
3764,"The text in the image is:  ""my black flag brings all the goats to the yard  and they're like allah akbar and then I'll put a bomb in a car. I'd teach u but I have no arms"""
3765,american kids all across american storefronts!!! freeway off n on ramps!!! street corners!!! begging for $$$ for the re-alcohol!!! n drugs!!!
3789,The text in the image reads:  - anne frankly - i don't care
3794,The text in the image is:  - tranny jesus - died for your - eyebrows
3795,even i can see you're a cunt
3798,"hey, i just met you and this is crazy but here's your number...  so camping, maybe?"
3841,when i grow up...  lol nevermind
3845,rev al sharpton  that gorilla was 17 black and unarmed
3847,meanwhile at the isis strip club
3849,gmc short for give me cock
3854,did a lot of medical research didn't hurt any animals
3861,when you realize you fought on the wrong side during WWII
3864,you can't be the victim of a school shooting if you're the school shooter
3865,after 3 million years of evolution  we still love to relax
3869,a mother's love for the child is a divine thing
3871,"The text in the image is:  ""justin trudeau the imam of canada"""
3874,one of the poor defenseless refugees we hear about  she's smuggling 31 pounds of pure heroin
3875,we're glad you're home the russians pooped in the hallway!
3896,"The text in the image reads:  ""let me salute to hitler the great he said 'i would have killed all the jews of the world, but i kept some to show the world why i killed them'"""
3917,attacking a person for who they are or where  they're from is an attack on their people and culture as a whole
3924,three k's a day keeps the minorities away
3927,after group sex mohammed is very tired
3942,they're just like anyone else
3947,no one: steven hawking:
3957,lawn darts  muslim style
3962,where's my water?
3968,when you're watching the #roots remake  but you're in an interracial relationship
3971,so i was sucking on her t * ts then the husband walks in and i
3976,"warning ""every"" country that has become involved in muslim immigration has eventually become an islamic state and don't the fate of your country will be any different islam is a cancer for which there is no cure"
3981,siri take me home starting route to gym
3984,when your brother sucks at driving
3987,the newest hate group the dumb stupid klan
4125,Sorry I'm late have the racist comments started yet?
4126,"hitler be like ""you sure i killed 6 million? they aint up here"
4127,here we go again. us paralympics team refuses to stand during st..
4132,"dear ""dad"". i did it without you. love, the daughter you left behind."
4135,there's only one race the human race  and that thing on the right? that's a monkey in human clothes
4138,what do a bicycle and a nigger have in common? neither works without chains
4152,over 50 south africans lost their lives after police opened fire during a protest
4153,"let's end racism  I HAVE A DREAM Martin Luther King Jr. The March on Washington for Jobs and Freedom August 28, 1963"
4156,me after i take that first sip of mcdonald'ss sprite  kwispy
4157,a real man... loads the dishwasher every night!!
4162,one of the most brilliant minds in science
4163,"The text in the image says:  ""I will kill this white man ooo wwe fans"""
4175,"The text in the image is:  ""im not racist because racism is a crime and crime is for black people"""
4183,back off murderers FAT POWER we fight for justice
4185,when you need a diaper because you're a still a baby
4187,this is how muslims celebrate new year
4217,have a coke and a smile.  regen: always  coca cola coke adds life. ma: nevermore coca cola
4239,when you fart in crowd and try to look normal
4253,"The text in the image reads ""sad world history."""
4256,me and styrofoam... yup...both white trash
4257,"how sad it must be for supporters - believing that scientist, scholars, historians, economist, and journalists have devoted their entire lives to deceiving america, while a reality-tv star with decades of fraud and exhaustively-documented lying is your beacon of honesty"
4263,holocaust jokes are offensive ann frankly aren't funny
4265,"The text in the image says ""farming simulator 1800."""
4267,I'm not saying it was muslims but it was muslims
4268,guess which one is which? 1. transgender; 2. suicide bomber or 3. a floor lamp
4273,have you seen my bag
4278,never let someone who has done nothing  tell you how to do anything
4281,"The text in the image is:  - ""patty cake patty cake butthole"" - ""hand i got tourettes syndrome"" - ""chicken fuc ked ham"""
4287,"that's it, back to the kitchen! where's my sammich?  women's day is over!"
4295,when black people say they are native american
4296,"The text in the image reads:  ""now imagine if native american cowboys rode bicycles"""
4316,"algebra and geometry are fine, but graphing is where you draw a line"
4319,"sometimes, you have to water your farm equipment so it doesn't overheat"
4321,"""If that uckin bastard wins, we're all going to hang from nooses! You better fix this shit!""  -hillary clinton email to donna brazile october 17, 2016"
4325,it's a 3-day weekend pace yourself
4326,when the chow mein was on point but you kinda miss your cat
4328,if only dogs could pick up after themselves
4356,i only wear silk panties cotton ones remind me of slavery
4361,"The text in the image reads:  ""islam turning every single country it touches into a shithole for over 1400 years"""
4372,my sister gave me this  haircut after i fucked her.
4379,The text in the image is:  ``` tfw you hear that you should be able to walk again with 2 months of pt ```
4387,"sit down kids, i will now tell you how i met your mother"
4397,"The text in the image is:  ""what do you call a a retarded jew? auschwistic"""
4529,"please,''share' this piggy he upsets muslims"
4536,"he's not a great debater, he's not a smooth talking politician, he's not part of the establishment, but he is a true american patriot!  we cannot sit back and watch them destroy this man who is trying to help us!  he can clean up america and they know it!"
4538,"bows here, bows there, bows everywhere"
4563,"yeah, we know  ""no president has done what I have done."""
4568,me during no shave november
4569,when is the time to eat  i am hungry
4579,maybe the catholic church protects pedophile preists because  the last time christianity shunned a pedophile he started islam?
4582,this has no place on american soil
4583,mom won't let me use the oven with my jewish friends
4591,rep. ilhan omar: 9/11 was 'some people did something' here's your something 2977 people dead by terrorism
4597,terrorist attacks innocent people with guns  leaders want innocent people to give up their guns and become even more defenseless...
4615,It's the religion of peace. join exclusive islam!
4619,"the most popular, but least talked about, white trash barbie! kids b like ""not my fault you didn't pay the cable!"""
4621,you are what you eat meanwhile in africa
4623,"six kids, no husband, no job, and food stamps $10,000 back in income taxes"
4629,halloween was great this year
4637,when your chinese food shows up completely uncooked
4639,"the female body is a gentle, delicate flower  except for the vagina. pound the fucking vagina"
4651,what every muslim  looks like to me
4658,"so, you think by being a a muslim sympathizer, this will somehow keep us from killing you? you are a special kind of stupid"
4675,i called my boy  whatchoo goin do bout that spray bottle now.
4682,why can't we spend money on education instead of drugs
4683,"when you make a meme using a different language that everyone can still understand: no es mucho, pero es trabajo"
4689,illegal immigration the cowboy way  we'll know them if they try to come back in!
4695,when a badge and gun aren't enough to cope with your fragile senses of self worth and masculinity:  roadhouse!
4712,"just figured out trump conned you?  not too fucking bright, are you?"
4716,"makeup artist $4,000 / month personal stylist $15,000 / week  i can't tell the difference"
4718,isis you mean them goat fuckers that don't like bacon
4719,how you see it how the turkey sees it
4726,islamic state soldiers celebrating we should kill them all
4729,what if punk is just gangsta rap for white kids
4732,"The text in the image says:  ""trump supporters be like make america great again"""
4735,smile even in the worst of times
4758,"my fragile heart at my sex drive  - stay back, slut"
4759,"The text in the image says:  ""im ready to have some fun"""
4762,scientist are working hard to cure them all
4765,"blame it all on my roots, i showed up in boots.. and ruined your jihad affair"
4768,really? eating pork is gross but marriage to a minor isn't?
4769,"if she's pouting like this and you don't immediately  drop the argument, motherfucker you gay"
4782,The text in the image is:  - adorable african kid - appreciating life
4783,"where you can get with that bull shit  what is ""fuck outta here  correct"
4786,"being transgender is a mental illness  it's a rejection of reality, leads to anxiety, depression, and in some cases self-mutilation and/or suicide. that's not healthy"
4791,if you're a gentleman then nothing may disturb you  but if you're a hungry sex maniac then there's no dress which can provide security for any women
4798,are you bored? join spastics with special admin powers now
4813,when you haven't stolen for over 2 weeks..
4819,"jew: *walks out of the shower* hey man, can i get a towel?  auschwitz guard:"
4823,"The text in the image says:  ""definitely a new cultural era!"""
4827,me: puts bag of popcorn into the microwave every one else at the senior center:
4857,...even the dumb jews know that! trump is a racist..
4859,"The text in the image is:  - ""arnold schwarzenigger"" - ""i'll be black"""
4861,"waiter, another order of crow for my anti-trump friends."
4863,a little hood. a little hippie..
4873,manual tranny  automatic tranny  rebuilt tranny
4876,goin
4879,i hear a funny joke about dishwashers
4891,"The text in the image says ""cannibalism."""
4892,"send him to...  meowschwitz  ONLINE USA INC. P.O. Box 75, Beverly Hills, Ca. 90213. Phone 310 587 0025. Fax 310 587 0027"
4912,immigrantswave our flag invaders wave their own
4915,they want this not beause they love you they need to mix breed to preserve their species
4917,similar to sharks because all the great ones are white
4918,"The text in the image says:  ""why do asians have eyes like this? isn't it hard to see?"""
4923,beergasm  that moment when you take your first sip of beer after a long day
4926,"knowing white people, that's probably the babies father"
4928,dishwasher for sale missing parts
4938,hen your unvaccinated chi rvives 18 years but cides to kill himself  you were the chosen one
4958,how i see black people getting trolled on the internet
4971,happy birthday sugar tits
4975,look at me  this is my meme now
4976,sh*t someone added too much soap to the dishwasher again
4986,the enemy within  linda sarsour  ocasio-cortez  ilhan omar  rashida tlaib
5123,"The text in the image reads:  ""When cops question someone who just got robbed did anything seem strange? like maybe something black?"""
5126,can you smell what the reich is cooking
5127,we'll kill you over some trivial shit  then fucking mock your dying words
5129,"you ever get laid in a sleeping bag? it's awful.  you can't even move, you're drenched in sweat, and your scout master is covering your mouth."
5134,the banality of evil
5138,i should not be expected to pledge allegiance to any country including america
5148,the hardest part of breaking up with a japanese girlfriend  is having to drop the bomb on her twice before she gets it
5162,went down on a muslim bitch her pussy was the bomb!
5164,dark humor is like food not everyone gets it
5172,"The text in the image reads:  ""islam is the religion of peace! if you don't agree i kill you!"""
5174,when you start burning calories instead of people
5183,when you run out of bras and have to hold the girls up on your own
5189,siri take me home starting route to jail
5198,went outside today yolo
5213,the families of the hillsborough tragedy were denied legal aid....  but shamima begum gets it to fight for her uk citizenship  our system is a sick joke! - martin costello  [Image of a protest]
5214,pull up your pants and back away from the goat!!
5218,things i love to pull behind my trunck
5219,just admit it. white america was better
5231,the name's bob... bob
5241,"last year tyrone got a new job, started building his credit, and spendinging more time with his kids  then something amazing started to happen!"
5249,i am still so confused about the strategies in this game
5261,i'm deportinging all mexicans!!!  except the ones in baldwin park you fuckers are crazy!!!
5264,trust me the muslims won't rape you now
5269,been talking shit about trump since day one.  now crying like bitches after getting called out.
5273,"someone needs to invent car fax for ""i have only been with one guy""  ""Yeah sure, show me the whorefax."""
5276,talk about that for a team photo
5279,"knowing white people, that's probably the baby father"
5283,"life has never given me lemons  it has given me anger issues, anxiety, a love for alcohol, a serious dislike for stupid people. but not lemons."
5294,a little bird told me it is going to be a beautiful day.  i ate it.
5297,the first thing i did when i got home from the battered women's shelter?  the dishes... 'cause i know what's good for me...
5316,doing o's with the smoke
5327,i just realized that all i can be is true to myself not matter what
5329,It's not right to judge someone by the color of their skin. They might just be tan.
5349,normal day in a islamic country
5362,you like something that i do not particularly enjoy  disgusting prepare to forfeit your life
5369,person i chase: *shows clear signs he doesn't want to do anything with me*  me: i'm gonna pretend i didn't see that
5372,"healthcare is a right and the government should pay for it  guns are a right, should the government pay for them too?"
5376,did you know you are supposed to pull anal beads out slowly?  i didn't... i started the wife up like a fucking chainsaw
5379,i'd like the porn in my room to be  disabled  we only have regular porn you  sick bastard
5384,spendinging quality time with dad
5387,is someone using the oven? cuz i smell gas
5389,this pizza is so disgusting  if you take it to italv you'll get arrested
5398,when a cop pulls his gun on you but you're white gotcha
5421,there was a 4 car pile-up in mexico today  93 people died
5429,"The text in the image reads:  - ""claims that her ancestors created a safe space for Jews"" - ""these are her ancestors"""
5436,lol don't bother buckling up  because we are all going to die
5437,this could be us  but you keep escaping
5438,didn't get bought today  success!
5439,"The text in the image reads ""portable dishwasher slash sandwich maker."""
5461,"me, an air force intellectual watching some marines get into a bar fight with some thah tranny hookers"
5462,I'm not racist. I hate white liberals more than anybody
5463,when you dress up for dinner at your girlfriend's house  parent's house
5468,when you lose your jewelry
5471,"The text in the image is:  - ""do you still suck dick?"" - ""faggot"""
5476,The text in the image is:  - greetings white person - time to die
5479,"this is steve. he lives with both parents, who both work. no one in his family has a middle name in their facebook name, like javeon doingbigthings jackson. everyone in his family can swim"
5482,stupid you are breed you should not
5483,the only thing more vile than the attitude of these anti americans..  is the absolute ignorance of the delusional people that voted for them
5489,trump says he doesn't like suppressors.  well.....he's a democrat so...
5498,step one: turn on the gas
5612,of all time the most underrated cook
5614,"The answer to the age-old question, does a bear shit in the woods? Answer...yes they do!  And here is scientific proof"
5617,"i thought i you said netflix & chill  no i said ""here, take this pill"
5619,official white house holiday ornaments
5642,did you say dude blew his tranny???
5643,kids in africa wouldn't starve if they ate the flies on their face
5649,you sicced all of your corrupt goons after me for 3 years and i came out clean.  now it's my turn to send my justice-seeking patriots after you and your corrupt goons let's see how you all come out!!!
